"Date","Price","Open","High","Low","Vol.","Change %"
"06-07-2021","532.60","536.55","538.30","531.85","4.19M","-0.70%"
"05-07-2021","536.35","542.90","542.90","535.55","3.44M","-0.42%"
"02-07-2021","538.60","540.10","542.30","533.60","4.16M","-0.14%"
"01-07-2021","539.35","545.00","545.90","538.00","4.33M","-1.15%"
"30-06-2021","545.65","544.85","548.00","542.00","4.29M","0.56%"
"29-06-2021","542.60","547.80","553.75","541.00","7.93M","-0.88%"
"28-06-2021","547.40","549.75","550.80","544.25","3.26M","-0.02%"
"25-06-2021","547.50","549.85","551.00","540.50","5.04M","-0.28%"
"24-06-2021","549.05","541.90","550.55","539.20","8.67M","1.65%"
"23-06-2021","540.15","560.00","560.85","538.40","11.24M","-2.95%"
"22-06-2021","556.55","545.25","559.95","542.30","5.75M","2.66%"
"21-06-2021","542.15","544.75","544.75","535.20","5.39M","-1.39%"
"18-06-2021","549.80","560.00","561.95","546.05","10.01M","-1.59%"
"17-06-2021","558.70","552.50","561.50","549.55","4.40M","0.62%"
"16-06-2021","555.25","559.90","562.55","553.50","5.50M","-0.47%"
"15-06-2021","557.90","561.50","564.00","557.00","3.84M","-0.66%"
"14-06-2021","561.60","553.90","562.80","553.00","5.95M","1.32%"
"11-06-2021","554.30","555.00","558.95","551.50","5.61M","0.01%"
"10-06-2021","554.25","545.55","555.50","545.55","5.72M","1.85%"
"09-06-2021","544.20","553.00","553.25","542.20","6.21M","-1.16%"
"08-06-2021","550.60","550.00","555.50","549.15","5.43M","0.43%"
"07-06-2021","548.25","544.70","551.20","542.70","4.35M","1.30%"
"04-06-2021","541.20","543.50","545.50","540.45","4.77M","0.40%"
"03-06-2021","539.05","545.70","549.90","538.30","5.64M","-0.73%"
"02-06-2021","543.00","541.95","545.00","533.00","4.71M","0.04%"
"01-06-2021","542.80","541.90","547.00","539.65","5.97M","0.70%"
"31-05-2021","539.05","538.70","540.55","531.05","5.39M","0.06%"
"28-05-2021","538.70","539.00","540.30","532.65","5.88M","-0.41%"
"27-05-2021","540.90","527.25","545.00","525.05","29.41M","2.59%"
"26-05-2021","527.25","514.90","530.45","514.75","8.82M","1.87%"
"25-05-2021","517.55","517.40","524.85","515.70","7.95M","0.51%"
"24-05-2021","514.90","511.90","518.50","509.65","7.44M","0.43%"
"21-05-2021","512.70","510.00","515.90","509.15","5.20M","0.88%"
"20-05-2021","508.25","516.00","517.00","503.60","6.29M","-0.66%"
"19-05-2021","511.65","508.30","517.80","505.15","7.49M","0.71%"
"18-05-2021","508.05","502.00","514.80","500.90","9.38M","1.65%"
"17-05-2021","499.80","498.45","503.70","495.00","5.75M","0.27%"
"14-05-2021","498.45","507.50","508.40","492.75","6.80M","-1.80%"
"12-05-2021","507.60","519.95","522.55","504.85","7.87M","-2.08%"
"11-05-2021","518.40","517.95","523.30","514.05","7.65M","-1.44%"
"10-05-2021","525.95","517.60","528.50","513.25","12.54M","2.08%"
"07-05-2021","515.25","514.00","516.55","507.50","14.67M","0.58%"
"06-05-2021","512.30","493.70","514.80","487.25","24.41M","4.42%"
"05-05-2021","490.60","484.80","496.00","483.30","11.86M","1.79%"
"04-05-2021","481.95","487.30","488.30","477.80","8.10M","-1.11%"
"03-05-2021","487.35","487.95","496.00","483.25","8.60M","-1.10%"
"30-04-2021","492.75","491.50","511.80","489.30","29.12M","0.59%"
"29-04-2021","489.85","492.70","492.80","485.70","7.64M","0.11%"
"28-04-2021","489.30","485.85","493.20","481.25","9.62M","0.88%"
"27-04-2021","485.05","481.40","487.00","481.00","7.21M","0.99%"
"26-04-2021","480.30","479.40","483.85","477.00","9.31M","0.97%"
"23-04-2021","475.70","483.55","487.35","474.35","13.60M","-2.25%"
"22-04-2021","486.65","471.60","494.50","471.60","42.62M","3.52%"
"20-04-2021","470.10","476.00","477.55","467.80","17.73M","-0.56%"
"19-04-2021","472.75","463.00","477.95","461.10","43.81M","0.76%"
"16-04-2021","469.20","441.70","473.65","436.00","109.36M","8.94%"
"15-04-2021","430.70","418.90","434.45","415.00","26.76M","2.80%"
"13-04-2021","418.95","432.00","437.55","412.60","20.42M","-3.16%"
"12-04-2021","432.60","450.00","450.10","429.40","15.09M","-3.89%"
"09-04-2021","450.10","442.90","451.35","440.00","11.70M","1.81%"
"08-04-2021","442.10","441.95","445.95","440.00","12.92M","0.94%"
"07-04-2021","438.00","425.00","439.00","423.40","13.87M","2.54%"
"06-04-2021","427.15","427.95","428.90","422.35","8.32M","0.40%"
"05-04-2021","425.45","416.45","427.90","416.20","21.22M","2.17%"
"01-04-2021","416.40","418.85","422.85","414.35","7.60M","0.54%"
"31-03-2021","414.15","419.80","419.80","413.35","7.45M","-0.94%"
"30-03-2021","418.10","405.00","420.45","405.00","13.17M","3.52%"
"26-03-2021","403.90","404.80","407.70","400.65","9.03M","1.06%"
"25-03-2021","399.65","410.70","411.70","397.75","12.74M","-2.76%"
"24-03-2021","411.00","411.35","415.45","409.20","5.14M","-1.08%"
"23-03-2021","415.50","417.70","423.40","412.70","11.58M","0.25%"
"22-03-2021","414.45","411.05","416.25","410.20","6.62M","0.96%"
